"Image id","Path","Extension","Height","Width","Type of Replica","Replica param 1","Replica param 2","Replica of"
"91","rep/94channel_s_0.1.jpg","jpg","359.0","599.0","ChannelS","0.1",,"66"
"92","rep/94channel_s_-0.1.jpg","jpg","359.0","599.0","ChannelS","-0.1",,"66"
"93","rep/94channel_v_-0.1.jpg","jpg","359.0","599.0","ChannelV","-0.1",,"66"
"94","rep/94channel_v_0.1.jpg","jpg","359.0","599.0","ChannelV","0.1",,"66"
"95","rep/94_h_flipped.jpg","jpg","359.0","599.0","HFlipped",,,"66"
"96","rep/94_text_15.jpg","jpg","359.0","599.0","Text","15",,"66"
"97","rep/94_occlusion__radius_3_size_0.1.jpg","jpg","359.0","599.0","Occluded","3","0.1","66"
"98","rep/94_occlusion__radius_2_size_0.15.jpg","jpg","359.0","599.0","Occluded","2","0.15","66"
"99","src/2280.jpg","jpg","450.0","600.0",,,,
"100","rep/2280_rotate_30.0.jpg","jpg","450.0","600.0","Rotated","30.0",,"99"
"101","rep/2280_rotate_90.0.jpg","jpg","450.0","600.0","Rotated","90.0",,"99"
"102","rep/2280_rotate_180.0.jpg","jpg","450.0","600.0","Rotated","180.0",,"99"
"103","rep/2280_rotate_270.0.jpg","jpg","450.0","600.0","Rotated","270.0",,"99"
"104","rep/2280_cropped_h_0.25.jpg","jpg","450.0","450.0","Cropped_H","0.25",,"99"
"105","rep/2280_cropped_h_0.5.jpg","jpg","450.0","300.0","Cropped_H","0.5",,"99"
"106","rep/2280_cropped_v_0.25.jpg","jpg","337.0","600.0","Cropped_V","0.25",,"99"
"107","rep/2280_cropped_v_0.5.jpg","jpg","225.0","600.0","Cropped_V","0.5",,"99"
"108","rep/2280_comp_0.1.jpg","jpg","450.0","600.0","Compressed","0.1",,"99"
"109","rep/2280_comp_0.3.jpg","jpg","450.0","600.0","Compressed","0.3",,"99"
"110","rep/2280_comp_0.5.jpg","jpg","450.0","600.0","Compressed","0.5",,"99"
"111","rep/2280_comp_0.7.jpg","jpg","450.0","600.0","Compressed","0.7",,"99"
"112","rep/2280_comp__mean_0.0_stdev_0.1.jpg","jpg","450.0","600.0","Gaussian","0.0","0.1","99"
"113","rep/2280_comp__mean_0.0_stdev_0.25.jpg","jpg","450.0","600.0","Gaussian","0.0","0.25","99"
"114","rep/2280_resize_0.5.jpg","jpg","225.0","300.0","Resized","0.5",,"99"
"115","rep/2280_resize_0.8.jpg","jpg","360.0","480.0","Resized","0.8",,"99"
"116","rep/2280_resize_1.2.jpg","jpg","540.0","720.0","Resized","1.2",,"99"
"117","rep/2280_resize_1.5.jpg","jpg","675.0","900.0","Resized","1.5",,"99"
"118","rep/2280_smoothed_kernel_2.jpg","jpg","450.0","600.0","Smoothed","2",,"99"
"119","rep/2280_smoothed_kernel_3.jpg","jpg","450.0","600.0","Smoothed","3",,"99"
"120","rep/2280_gamma_0.25.jpg","jpg","450.0","600.0","Gamma","0.25",,"99"
"121","rep/2280_gamma_0.6.jpg","jpg","450.0","600.0","Gamma","0.6",,"99"
"122","rep/2280_gamma_1.5.jpg","jpg","450.0","600.0","Gamma","1.5",,"99"
"123","rep/2280_gamma_1.8.jpg","jpg","450.0","600.0","Gamma","1.8",,"99"
"124","rep/2280channel_s_0.1.jpg","jpg","450.0","600.0","ChannelS","0.1",,"99"
"125","rep/2280channel_s_-0.1.jpg","jpg","450.0","600.0","ChannelS","-0.1",,"99"
"126","rep/2280channel_v_-0.1.jpg","jpg","450.0","600.0","ChannelV","-0.1",,"99"
"127","rep/2280channel_v_0.1.jpg","jpg","450.0","600.0","ChannelV","0.1",,"99"
"128","rep/2280_h_flipped.jpg","jpg","450.0","600.0","HFlipped",,,"99"
"129","rep/2280_text_15.jpg","jpg","450.0","600.0","Text","15",,"99"
"130","rep/2280_occlusion__radius_3_size_0.1.jpg","jpg","450.0","600.0","Occluded","3","0.1","99"
"131","rep/2280_occlusion__radius_2_size_0.15.jpg","jpg","450.0","600.0","Occluded","2","0.15","99"
"132","src/322.jpg","jpg","225.0","300.0",,,,
"133","rep/322_rotate_30.0.jpg","jpg","225.0","300.0","Rotated","30.0",,"132"
"134","rep/322_rotate_90.0.jpg","jpg","225.0","300.0","Rotated","90.0",,"132"
"135","rep/322_rotate_180.0.jpg","jpg","225.0","300.0","Rotated","180.0",,"132"
"136","rep/322_rotate_270.0.jpg","jpg","225.0","300.0","Rotated","270.0",,"132"
"137","rep/322_cropped_h_0.25.jpg","jpg","225.0","225.0","Cropped_H","0.25",,"132"
"138","rep/322_cropped_h_0.5.jpg","jpg","225.0","150.0","Cropped_H","0.5",,"132"
"139","rep/322_cropped_v_0.25.jpg","jpg","168.0","300.0","Cropped_V","0.25",,"132"
"140","rep/322_cropped_v_0.5.jpg","jpg","112.0","300.0","Cropped_V","0.5",,"132"
"141","rep/322_comp_0.1.jpg","jpg","225.0","300.0","Compressed","0.1",,"132"
"142","rep/322_comp_0.3.jpg","jpg","225.0","300.0","Compressed","0.3",,"132"
"143","rep/322_comp_0.5.jpg","jpg","225.0","300.0","Compressed","0.5",,"132"
"144","rep/322_comp_0.7.jpg","jpg","225.0","300.0","Compressed","0.7",,"132"
"145","rep/322_comp__mean_0.0_stdev_0.1.jpg","jpg","225.0","300.0","Gaussian","0.0","0.1","132"
"146","rep/322_comp__mean_0.0_stdev_0.25.jpg","jpg","225.0","300.0","Gaussian","0.0","0.25","132"
"147","rep/322_resize_0.5.jpg","jpg","112.0","150.0","Resized","0.5",,"132"
"148","rep/322_resize_0.8.jpg","jpg","180.0","240.0","Resized","0.8",,"132"
"149","rep/322_resize_1.2.jpg","jpg","270.0","360.0","Resized","1.2",,"132"
"150","rep/322_resize_1.5.jpg","jpg","337.0","450.0","Resized","1.5",,"132"
"151","rep/322_smoothed_kernel_2.jpg","jpg","225.0","300.0","Smoothed","2",,"132"
"152","rep/322_smoothed_kernel_3.jpg","jpg","225.0","300.0","Smoothed","3",,"132"
"153","rep/322_gamma_0.25.jpg","jpg","225.0","300.0","Gamma","0.25",,"132"
"154","rep/322_gamma_0.6.jpg","jpg","225.0","300.0","Gamma","0.6",,"132"
"155","rep/322_gamma_1.5.jpg","jpg","225.0","300.0","Gamma","1.5",,"132"
"156","rep/322_gamma_1.8.jpg","jpg","225.0","300.0","Gamma","1.8",,"132"
"157","rep/322channel_s_0.1.jpg","jpg","225.0","300.0","ChannelS","0.1",,"132"
"158","rep/322channel_s_-0.1.jpg","jpg","225.0","300.0","ChannelS","-0.1",,"132"
"159","rep/322channel_v_-0.1.jpg","jpg","225.0","300.0","ChannelV","-0.1",,"132"
"160","rep/322channel_v_0.1.jpg","jpg","225.0","300.0","ChannelV","0.1",,"132"
"161","rep/322_h_flipped.jpg","jpg","225.0","300.0","HFlipped",,,"132"
"162","rep/322_text_15.jpg","jpg","225.0","300.0","Text","15",,"132"
"163","rep/322_occlusion__radius_3_size_0.1.jpg","jpg","225.0","300.0","Occluded","3","0.1","132"
"164","rep/322_occlusion__radius_2_size_0.15.jpg","jpg","225.0","300.0","Occluded","2","0.15","132"
"165","src/680.jpg","jpg","539.0","536.0",,,,
"166","rep/680_rotate_30.0.jpg","jpg","539.0","536.0","Rotated","30.0",,"165"
"167","rep/680_rotate_90.0.jpg","jpg","539.0","536.0","Rotated","90.0",,"165"
"168","rep/680_rotate_180.0.jpg","jpg","539.0","536.0","Rotated","180.0",,"165"
"169","rep/680_rotate_270.0.jpg","jpg","539.0","536.0","Rotated","270.0",,"165"
"170","rep/680_cropped_h_0.25.jpg","jpg","539.0","402.0","Cropped_H","0.25",,"165"
"171","rep/680_cropped_h_0.5.jpg","jpg","539.0","268.0","Cropped_H","0.5",,"165"
"172","rep/680_cropped_v_0.25.jpg","jpg","404.0","536.0","Cropped_V","0.25",,"165"
"173","rep/680_cropped_v_0.5.jpg","jpg","269.0","536.0","Cropped_V","0.5",,"165"
"174","rep/680_comp_0.1.jpg","jpg","539.0","536.0","Compressed","0.1",,"165"
"175","rep/680_comp_0.3.jpg","jpg","539.0","536.0","Compressed","0.3",,"165"
"176","rep/680_comp_0.5.jpg","jpg","539.0","536.0","Compressed","0.5",,"165"
"177","rep/680_comp_0.7.jpg","jpg","539.0","536.0","Compressed","0.7",,"165"
"178","rep/680_comp__mean_0.0_stdev_0.1.jpg","jpg","539.0","536.0","Gaussian","0.0","0.1","165"
"179","rep/680_comp__mean_0.0_stdev_0.25.jpg","jpg","539.0","536.0","Gaussian","0.0","0.25","165"
"180","rep/680_resize_0.5.jpg","jpg","269.0","268.0","Resized","0.5",,"165"
"181","rep/680_resize_0.8.jpg","jpg","431.0","428.0","Resized","0.8",,"165"
"182","rep/680_resize_1.2.jpg","jpg","646.0","643.0","Resized","1.2",,"165"
"183","rep/680_resize_1.5.jpg","jpg","808.0","804.0","Resized","1.5",,"165"
"184","rep/680_smoothed_kernel_2.jpg","jpg","539.0","536.0","Smoothed","2",,"165"
"185","rep/680_smoothed_kernel_3.jpg","jpg","539.0","536.0","Smoothed","3",,"165"
"186","rep/680_gamma_0.25.jpg","jpg","539.0","536.0","Gamma","0.25",,"165"
"187","rep/680_gamma_0.6.jpg","jpg","539.0","536.0","Gamma","0.6",,"165"
"188","rep/680_gamma_1.5.jpg","jpg","539.0","536.0","Gamma","1.5",,"165"
"189","rep/680_gamma_1.8.jpg","jpg","539.0","536.0","Gamma","1.8",,"165"
"190","rep/680channel_s_0.1.jpg","jpg","539.0","536.0","ChannelS","0.1",,"165"
"191","rep/680channel_s_-0.1.jpg","jpg","539.0","536.0","ChannelS","-0.1",,"165"
"192","rep/680channel_v_-0.1.jpg","jpg","539.0","536.0","ChannelV","-0.1",,"165"
"193","rep/680channel_v_0.1.jpg","jpg","539.0","536.0","ChannelV","0.1",,"165"
"194","rep/680_h_flipped.jpg","jpg","539.0","536.0","HFlipped",,,"165"
"195","rep/680_text_15.jpg","jpg","539.0","536.0","Text","15",,"165"
"196","rep/680_occlusion__radius_3_size_0.1.jpg","jpg","539.0","536.0","Occluded","3","0.1","165"
"197","rep/680_occlusion__radius_2_size_0.15.jpg","jpg","539.0","536.0","Occluded","2","0.15","165"
"198","src/2054.jpg","jpg","500.0","500.0",,,,
"199","rep/2054_rotate_30.0.jpg","jpg","500.0","500.0","Rotated","30.0",,"198"
"200","rep/2054_rotate_90.0.jpg","jpg","500.0","500.0","Rotated","90.0",,"198"
"201","rep/2054_rotate_180.0.jpg","jpg","500.0","500.0","Rotated","180.0",,"198"
"202","rep/2054_rotate_270.0.jpg","jpg","500.0","500.0","Rotated","270.0",,"198"
"203","rep/2054_cropped_h_0.25.jpg","jpg","500.0","375.0","Cropped_H","0.25",,"198"
"204","rep/2054_cropped_h_0.5.jpg","jpg","500.0","250.0","Cropped_H","0.5",,"198"
"205","rep/2054_cropped_v_0.25.jpg","jpg","375.0","500.0","Cropped_V","0.25",,"198"
"206","rep/2054_cropped_v_0.5.jpg","jpg","250.0","500.0","Cropped_V","0.5",,"198"
"207","rep/2054_comp_0.1.jpg","jpg","500.0","500.0","Compressed","0.1",,"198"
"208","rep/2054_comp_0.3.jpg","jpg","500.0","500.0","Compressed","0.3",,"198"
"209","rep/2054_comp_0.5.jpg","jpg","500.0","500.0","Compressed","0.5",,"198"
"210","rep/2054_comp_0.7.jpg","jpg","500.0","500.0","Compressed","0.7",,"198"
"211","rep/2054_comp__mean_0.0_stdev_0.1.jpg","jpg","500.0","500.0","Gaussian","0.0","0.1","198"
"212","rep/2054_comp__mean_0.0_stdev_0.25.jpg","jpg","500.0","500.0","Gaussian","0.0","0.25","198"
"213","rep/2054_resize_0.5.jpg","jpg","250.0","250.0","Resized","0.5",,"198"
"214","rep/2054_resize_0.8.jpg","jpg","400.0","400.0","Resized","0.8",,"198"
"215","rep/2054_resize_1.2.jpg","jpg","600.0","600.0","Resized","1.2",,"198"
"216","rep/2054_resize_1.5.jpg","jpg","750.0","750.0","Resized","1.5",,"198"
"217","rep/2054_smoothed_kernel_2.jpg","jpg","500.0","500.0","Smoothed","2",,"198"
"218","rep/2054_smoothed_kernel_3.jpg","jpg","500.0","500.0","Smoothed","3",,"198"
"219","rep/2054_gamma_0.25.jpg","jpg","500.0","500.0","Gamma","0.25",,"198"
"220","rep/2054_gamma_0.6.jpg","jpg","500.0","500.0","Gamma","0.6",,"198"
"221","rep/2054_gamma_1.5.jpg","jpg","500.0","500.0","Gamma","1.5",,"198"
"222","rep/2054_gamma_1.8.jpg","jpg","500.0","500.0","Gamma","1.8",,"198"
"223","rep/2054channel_s_0.1.jpg","jpg","500.0","500.0","ChannelS","0.1",,"198"
"224","rep/2054channel_s_-0.1.jpg","jpg","500.0","500.0","ChannelS","-0.1",,"198"
"225","rep/2054channel_v_-0.1.jpg","jpg","500.0","500.0","ChannelV","-0.1",,"198"
"226","rep/2054channel_v_0.1.jpg","jpg","500.0","500.0","ChannelV","0.1",,"198"
"227","rep/2054_h_flipped.jpg","jpg","500.0","500.0","HFlipped",,,"198"
"228","rep/2054_text_15.jpg","jpg","500.0","500.0","Text","15",,"198"
"229","rep/2054_occlusion__radius_3_size_0.1.jpg","jpg","500.0","500.0","Occluded","3","0.1","198"
"230","rep/2054_occlusion__radius_2_size_0.15.jpg","jpg","500.0","500.0","Occluded","2","0.15","198"
"231","src/28.jpg","jpg","299.0","297.0",,,,
"232","rep/28_rotate_30.0.jpg","jpg","299.0","297.0","Rotated","30.0",,"231"
"233","rep/28_rotate_90.0.jpg","jpg","299.0","297.0","Rotated","90.0",,"231"
"234","rep/28_rotate_180.0.jpg","jpg","299.0","297.0","Rotated","180.0",,"231"
"235","rep/28_rotate_270.0.jpg","jpg","299.0","297.0","Rotated","270.0",,"231"
"236","rep/28_cropped_h_0.25.jpg","jpg","299.0","222.0","Cropped_H","0.25",,"231"
"237","rep/28_cropped_h_0.5.jpg","jpg","299.0","148.0","Cropped_H","0.5",,"231"
"238","rep/28_cropped_v_0.25.jpg","jpg","224.0","297.0","Cropped_V","0.25",,"231"
"239","rep/28_cropped_v_0.5.jpg","jpg","149.0","297.0","Cropped_V","0.5",,"231"
"240","rep/28_comp_0.1.jpg","jpg","299.0","297.0","Compressed","0.1",,"231"
"241","rep/28_comp_0.3.jpg","jpg","299.0","297.0","Compressed","0.3",,"231"
"242","rep/28_comp_0.5.jpg","jpg","299.0","297.0","Compressed","0.5",,"231"
"243","rep/28_comp_0.7.jpg","jpg","299.0","297.0","Compressed","0.7",,"231"
"244","rep/28_comp__mean_0.0_stdev_0.1.jpg","jpg","299.0","297.0","Gaussian","0.0","0.1","231"
"245","rep/28_comp__mean_0.0_stdev_0.25.jpg","jpg","299.0","297.0","Gaussian","0.0","0.25","231"
"246","rep/28_resize_0.5.jpg","jpg","149.0","148.0","Resized","0.5",,"231"
"247","rep/28_resize_0.8.jpg","jpg","239.0","237.0","Resized","0.8",,"231"
"248","rep/28_resize_1.2.jpg","jpg","358.0","356.0","Resized","1.2",,"231"
"249","rep/28_resize_1.5.jpg","jpg","448.0","445.0","Resized","1.5",,"231"
"250","rep/28_smoothed_kernel_2.jpg","jpg","299.0","297.0","Smoothed","2",,"231"
"251","rep/28_smoothed_kernel_3.jpg","jpg","299.0","297.0","Smoothed","3",,"231"
"252","rep/28_gamma_0.25.jpg","jpg","299.0","297.0","Gamma","0.25",,"231"
"253","rep/28_gamma_0.6.jpg","jpg","299.0","297.0","Gamma","0.6",,"231"
"254","rep/28_gamma_1.5.jpg","jpg","299.0","297.0","Gamma","1.5",,"231"
"255","rep/28_gamma_1.8.jpg","jpg","299.0","297.0","Gamma","1.8",,"231"
"256","rep/28channel_s_0.1.jpg","jpg","299.0","297.0","ChannelS","0.1",,"231"
"257","rep/28channel_s_-0.1.jpg","jpg","299.0","297.0","ChannelS","-0.1",,"231"
"258","rep/28channel_v_-0.1.jpg","jpg","299.0","297.0","ChannelV","-0.1",,"231"
"259","rep/28channel_v_0.1.jpg","jpg","299.0","297.0","ChannelV","0.1",,"231"
"260","rep/28_h_flipped.jpg","jpg","299.0","297.0","HFlipped",,,"231"
"261","rep/28_text_15.jpg","jpg","299.0","297.0","Text","15",,"231"
"262","rep/28_occlusion__radius_3_size_0.1.jpg","jpg","299.0","297.0","Occluded","3","0.1","231"
"263","rep/28_occlusion__radius_2_size_0.15.jpg","jpg","299.0","297.0","Occluded","2","0.15","231"
"264","src/441.jpg","jpg","315.0","440.0",,,,
"265","rep/441_rotate_30.0.jpg","jpg","315.0","440.0","Rotated","30.0",,"264"
"266","rep/441_rotate_90.0.jpg","jpg","315.0","440.0","Rotated","90.0",,"264"
"267","rep/441_rotate_180.0.jpg","jpg","315.0","440.0","Rotated","180.0",,"264"
"268","rep/441_rotate_270.0.jpg","jpg","315.0","440.0","Rotated","270.0",,"264"
"269","rep/441_cropped_h_0.25.jpg","jpg","315.0","330.0","Cropped_H","0.25",,"264"
"270","rep/441_cropped_h_0.5.jpg","jpg","315.0","220.0","Cropped_H","0.5",,"264"
"271","rep/441_cropped_v_0.25.jpg","jpg","236.0","440.0","Cropped_V","0.25",,"264"
"272","rep/441_cropped_v_0.5.jpg","jpg","157.0","440.0","Cropped_V","0.5",,"264"
"273","rep/441_comp_0.1.jpg","jpg","315.0","440.0","Compressed","0.1",,"264"
"274","rep/441_comp_0.3.jpg","jpg","315.0","440.0","Compressed","0.3",,"264"
"275","rep/441_comp_0.5.jpg","jpg","315.0","440.0","Compressed","0.5",,"264"
"276","rep/441_comp_0.7.jpg","jpg","315.0","440.0","Compressed","0.7",,"264"
"277","rep/441_comp__mean_0.0_stdev_0.1.jpg","jpg","315.0","440.0","Gaussian","0.0","0.1","264"
"278","rep/441_comp__mean_0.0_stdev_0.25.jpg","jpg","315.0","440.0","Gaussian","0.0","0.25","264"
"279","rep/441_resize_0.5.jpg","jpg","157.0","220.0","Resized","0.5",,"264"
"280","rep/441_resize_0.8.jpg","jpg","252.0","352.0","Resized","0.8",,"264"
"281","rep/441_resize_1.2.jpg","jpg","378.0","528.0","Resized","1.2",,"264"
"282","rep/441_resize_1.5.jpg","jpg","472.0","660.0","Resized","1.5",,"264"
"283","rep/441_smoothed_kernel_2.jpg","jpg","315.0","440.0","Smoothed","2",,"264"
"284","rep/441_smoothed_kernel_3.jpg","jpg","315.0","440.0","Smoothed","3",,"264"
"285","rep/441_gamma_0.25.jpg","jpg","315.0","440.0","Gamma","0.25",,"264"
"286","rep/441_gamma_0.6.jpg","jpg","315.0","440.0","Gamma","0.6",,"264"
"287","rep/441_gamma_1.5.jpg","jpg","315.0","440.0","Gamma","1.5",,"264"
"288","rep/441_gamma_1.8.jpg","jpg","315.0","440.0","Gamma","1.8",,"264"
"289","rep/441channel_s_0.1.jpg","jpg","315.0","440.0","ChannelS","0.1",,"264"
"290","rep/441channel_s_-0.1.jpg","jpg","315.0","440.0","ChannelS","-0.1",,"264"
"291","rep/441channel_v_-0.1.jpg","jpg","315.0","440.0","ChannelV","-0.1",,"264"
"292","rep/441channel_v_0.1.jpg","jpg","315.0","440.0","ChannelV","0.1",,"264"
"293","rep/441_h_flipped.jpg","jpg","315.0","440.0","HFlipped",,,"264"
"294","rep/441_text_15.jpg","jpg","315.0","440.0","Text","15",,"264"
